source,target,weight
Bahawalpur,Bannu,0.9998869106208714
Bahawalpur,Faisalabad,0.9999258059464786
Bahawalpur,Gujranwala,0.9999943550723227
Bahawalpur,Hyderabad,0.9999923328635377
Bahawalpur,Islamabad,0.9999625413968655
Bahawalpur,Karachi,0.9999905038925975
Bahawalpur,Khuzdar,0.9999335012803906
Bahawalpur,Lahore,0.9999900029718686
Bahawalpur,Larkana,0.9999535482398066
Bahawalpur,Multan,0.9999609309284021
Bahawalpur,Peshawar,0.9999725194992648
Bahawalpur,Quetta,0.9999863720907741
Bahawalpur,Rawalpindi,0.9999627312080458
Bahawalpur,Sargodha,0.9999688842851215
Bahawalpur,Sialkot,0.9999501123824076
Bahawalpur,Sukkur,0.9999527190348185
Bannu,Faisalabad,0.9998104522329722
Bannu,Gujranwala,0.9998884075155121
Bannu,Hyderabad,0.9998552680008267
Bannu,Islamabad,0.9999040434998564
Bannu,Karachi,0.9999036547790113
Bannu,Khuzdar,0.9998529600777383
Bannu,Lahore,0.9998916837639109
Bannu,Larkana,0.9998573742920114
Bannu,Multan,0.9998722577596575
Bannu,Peshawar,0.999911845298155
Bannu,Quetta,0.9999058112698987
Bannu,Rawalpindi,0.9999050583819745
Bannu,Sargodha,0.9998634077294231
Bannu,Sialkot,0.9998829556148509
Bannu,Sukkur,0.9999251542535441
Faisalabad,Gujranwala,0.9999532138175762
Faisalabad,Hyderabad,0.9999395933469423
Faisalabad,Islamabad,0.9999658873927741
Faisalabad,Karachi,0.9999605127271833
Faisalabad,Khuzdar,0.999756973895432
Faisalabad,Lahore,0.9999627339207106
Faisalabad,Larkana,0.9999769214212457
Faisalabad,Multan,0.999851425107845
Faisalabad,Peshawar,0.9999613066229839
Faisalabad,Quetta,0.99996374572892
Faisalabad,Rawalpindi,0.9999660213997685
Faisalabad,Sargodha,0.9999333454464376
Faisalabad,Sialkot,0.9998342277344339
Faisalabad,Sukkur,0.9998895685384198
Gujranwala,Hyderabad,0.9999944690111428
Gujranwala,Islamabad,0.9999742943413306
Gujranwala,Karachi,0.9999966106792157
Gujranwala,Khuzdar,0.9999139742281559
Gujranwala,Lahore,0.99999870316785
Gujranwala,Larkana,0.9999774849068263
Gujranwala,Multan,0.9999435997436348
Gujranwala,Peshawar,0.9999829408416976
Gujranwala,Quetta,0.9999936999784866
Gujranwala,Rawalpindi,0.9999744288739232
Gujranwala,Sargodha,0.999964353743084
Gujranwala,Sialkot,0.9999274368327615
Gujranwala,Sukkur,0.9999532366186878
Hyderabad,Islamabad,0.9999620533001254
Hyderabad,Karachi,0.9999883136543377
Hyderabad,Khuzdar,0.9999249925433631
Hyderabad,Lahore,0.9999923084456362
Hyderabad,Larkana,0.9999720325649718
Hyderabad,Multan,0.9999585849022951
Hyderabad,Peshawar,0.9999729158402483
Hyderabad,Quetta,0.9999845871770859
Hyderabad,Rawalpindi,0.9999623161107885
Hyderabad,Sargodha,0.9999716559944459
Hyderabad,Sialkot,0.9999388876252175
Hyderabad,Sukkur,0.9999555773293448
Islamabad,Karachi,0.9999890623523643
Islamabad,Khuzdar,0.99983329538855
Islamabad,Lahore,0.9999835780643245
Islamabad,Larkana,0.9999821497192822
Islamabad,Multan,0.9999210338657443
Islamabad,Peshawar,0.9999984485449471
Islamabad,Quetta,0.9999931973561614
Islamabad,Rawalpindi,0.9999999213156945
Islamabad,Sargodha,0.9999707068775455
Islamabad,Sialkot,0.9999182827129058
Islamabad,Sukkur,0.9999557138639382
Karachi,Khuzdar,0.9998938762718954
Karachi,Lahore,0.9999986884017796
Karachi,Larkana,0.9999818175062218
Karachi,Multan,0.999943687421881
Karachi,Peshawar,0.9999940970790133
Karachi,Quetta,0.9999995049859676
Karachi,Rawalpindi,0.9999891749076544
Karachi,Sargodha,0.9999733450994848
Karachi,Sialkot,0.9999337001358067
Karachi,Sukkur,0.999960360120577
Khuzdar,Lahore,0.9998986822769739
Khuzdar,Larkana,0.9998367285339307
Khuzdar,Multan,0.9999462142822217
Khuzdar,Peshawar,0.9998610362732179
Khuzdar,Quetta,0.9998829206240611
Khuzdar,Rawalpindi,0.9998341081978944
Khuzdar,Sargodha,0.9998780098476363
Khuzdar,Sialkot,0.9999266000302611
Khuzdar,Sukkur,0.9999233947859792
Lahore,Larkana,0.9999857846058469
Lahore,Multan,0.9999402962653954
Lahore,Peshawar,0.9999902334168849
Lahore,Quetta,0.9999973148209106
Lahore,Rawalpindi,0.999983703573719
Lahore,Sargodha,0.9999684800140185
Lahore,Sialkot,0.9999253414681829
Lahore,Sukkur,0.9999571355089221
Larkana,Multan,0.9999010680439281
Larkana,Peshawar,0.999985524965803
Larkana,Quetta,0.9999837534410814
Larkana,Rawalpindi,0.999982271673658
Larkana,Sargodha,0.9999507720775214
Larkana,Sialkot,0.9998801718258457
Larkana,Sukkur,0.9999421548895393
Multan,Peshawar,0.999933711820911
Multan,Quetta,0.9999408796400898
Multan,Rawalpindi,0.9999213468279315
Multan,Sargodha,0.9999756107573206
Multan,Sialkot,0.9999952707003307
Multan,Sukkur,0.9999760957087285
Peshawar,Quetta,0.9999968410673259
Peshawar,Rawalpindi,0.9999985285684527
Peshawar,Sargodha,0.9999731586426801
Peshawar,Sialkot,0.9999280236592893
Peshawar,Sukkur,0.9999651260808552
Quetta,Rawalpindi,0.9999933025790847
Quetta,Sargodha,0.9999748390563348
Quetta,Sialkot,0.9999324214213172
Quetta,Sukkur,0.9999613697016562
Rawalpindi,Sargodha,0.9999710275893157
Rawalpindi,Sialkot,0.9999185719230981
Rawalpindi,Sukkur,0.999956029722488
Sargodha,Sialkot,0.9999728240066303
Sargodha,Sukkur,0.9999698407682531
Sialkot,Sukkur,0.9999700887913769
