source,target,weight
Bahawalpur,Bannu,0.9847907262570756
Bahawalpur,Faisalabad,0.999275654515082
Bahawalpur,Gujranwala,0.9999731701352227
Bahawalpur,Hyderabad,0.998643369452064
Bahawalpur,Islamabad,0.9974060804370226
Bahawalpur,Karachi,0.998022198020954
Bahawalpur,Khuzdar,0.9991457809767472
Bahawalpur,Lahore,0.999630473352903
Bahawalpur,Larkana,0.9930710013414233
Bahawalpur,Multan,0.9999974481224763
Bahawalpur,Peshawar,0.9994335800430197
Bahawalpur,Quetta,0.9989424860016762
Bahawalpur,Rawalpindi,0.9994780392907029
Bahawalpur,Sargodha,0.9922133194566948
Bahawalpur,Sialkot,0.9986984922598559
Bahawalpur,Sukkur,0.9848014500487997
Bannu,Faisalabad,0.9774656124212562
Bannu,Gujranwala,0.9834916120301662
Bannu,Hyderabad,0.992501815816431
Bannu,Islamabad,0.96973018687093
Bannu,Karachi,0.9937592107461596
Bannu,Khuzdar,0.9911293790149848
Bannu,Lahore,0.9797039476024704
Bannu,Larkana,0.998384810138722
Bannu,Multan,0.9843957325774614
Bannu,Peshawar,0.9824187603700885
Bannu,Quetta,0.9757610427143533
Bannu,Rawalpindi,0.9786638166184506
Bannu,Sargodha,0.998762323868649
Bannu,Sialkot,0.9923705148855748
Bannu,Sukkur,0.9999998811179006
Faisalabad,Gujranwala,0.9995276023993185
Faisalabad,Hyderabad,0.9959384450783095
Faisalabad,Islamabad,0.999422794339085
Faisalabad,Karachi,0.9949083349123441
Faisalabad,Khuzdar,0.9968494627501959
Faisalabad,Lahore,0.9999408392377981
Faisalabad,Larkana,0.9878796338733755
Faisalabad,Multan,0.9993590713301623
Faisalabad,Peshawar,0.9991069997343295
Faisalabad,Quetta,0.9999685612363953
Faisalabad,Rawalpindi,0.9999834526835689
Faisalabad,Sargodha,0.9867548880508766
Faisalabad,Sialkot,0.9960341762792796
Faisalabad,Sukkur,0.9774786107943834
Gujranwala,Hyderabad,0.99823514496709
Gujranwala,Islamabad,0.9979065865157872
Gujranwala,Karachi,0.9975351870562842
Gujranwala,Khuzdar,0.9988162658726861
Gujranwala,Lahore,0.9998027745272776
Gujranwala,Larkana,0.9921835334556631
