source,target,weight
Bahawalpur,Bannu,0.9936966083404014
Bahawalpur,Faisalabad,0.9905391754614054
Bahawalpur,Gujranwala,0.9587111299069181
Bahawalpur,Hyderabad,0.9910284841340673
Bahawalpur,Islamabad,0.9926580666663967
Bahawalpur,Karachi,0.9779913629804016
Bahawalpur,Khuzdar,0.963211847846225
Bahawalpur,Lahore,0.9885869749061541
Bahawalpur,Larkana,0.9889416388209551
Bahawalpur,Multan,0.9976260857715036
Bahawalpur,Peshawar,0.9906005469881931
Bahawalpur,Quetta,0.9923478097865855
Bahawalpur,Rawalpindi,0.9913517680012768
Bahawalpur,Sargodha,0.9990605478919378
Bahawalpur,Sialkot,0.9651848242259594
Bahawalpur,Sukkur,0.9923276529261577
Bannu,Faisalabad,0.9740689119586053
Bannu,Gujranwala,0.9426062785160302
Bannu,Hyderabad,0.9840577481277414
Bannu,Islamabad,0.9895821994054451
Bannu,Karachi,0.9728179743653229
Bannu,Khuzdar,0.937480648639127
Bannu,Lahore,0.9860706240864359
Bannu,Larkana,0.9801979045862012
Bannu,Multan,0.9879585860473654
Bannu,Peshawar,0.9971364159484782
Bannu,Quetta,0.9823473966774388
Bannu,Rawalpindi,0.9866379805610622
Bannu,Sargodha,0.9901968902879947
Bannu,Sialkot,0.9588087478397646
Bannu,Sukkur,0.9903429391629385
Faisalabad,Gujranwala,0.9777986791885528
Faisalabad,Hyderabad,0.9925772901720263
Faisalabad,Islamabad,0.9907371458541027
Faisalabad,Karachi,0.9854514627532037
Faisalabad,Khuzdar,0.9810760227528017
Faisalabad,Lahore,0.9887694176339761
Faisalabad,Larkana,0.9928578406967119
Faisalabad,Multan,0.9963736917790277
Faisalabad,Peshawar,0.9760743537951944
Faisalabad,Quetta,0.9969222677851182
Faisalabad,Rawalpindi,0.9926013398580384
Faisalabad,Sargodha,0.9936715272182933
Faisalabad,Sialkot,0.9715869507972849
Faisalabad,Sukkur,0.9891750406092822
Gujranwala,Hyderabad,0.9629919076715769
Gujranwala,Islamabad,0.9684673703327529
Gujranwala,Karachi,0.9659016629129299
Gujranwala,Khuzdar,0.9479843868960847
Gujranwala,Lahore,0.9800858393113899
Gujranwala,Larkana,0.9675943455381729
Gujranwala,Multan,0.9729598214971981
Gujranwala,Peshawar,0.9497612460112973
Gujranwala,Quetta,0.9791235019809109
Gujranwala,Rawalpindi,0.9737687879755069
Gujranwala,Sargodha,0.9640221339995007
Gujranwala,Sialkot,0.9930325662977856
Gujranwala,Sukkur,0.9761351795956577
Hyderabad,Islamabad,0.9937743726166749
Hyderabad,Karachi,0.9959790153300321
Hyderabad,Khuzdar,0.978025743375856
Hyderabad,Lahore,0.9863991344550848
Hyderabad,Larkana,0.998497553125319
Hyderabad,Multan,0.9936676010875636
Hyderabad,Peshawar,0.9872484138967869
Hyderabad,Quetta,0.9952850209631225
Hyderabad,Rawalpindi,0.9940187392772817
Hyderabad,Sargodha,0.9928779797609361
Hyderabad,Sialkot,0.9595379071920634
Hyderabad,Sukkur,0.9895424564456138
Islamabad,Karachi,0.9891791844606102
Islamabad,Khuzdar,0.9656185044781205
Islamabad,Lahore,0.995308618553112
Islamabad,Larkana,0.9930212165428816
Islamabad,Multan,0.9935876037734114
Islamabad,Peshawar,0.9926837585618079
Islamabad,Quetta,0.9957993033211683
Islamabad,Rawalpindi,0.9996507739432702
Islamabad,Sargodha,0.9937943107772882
Islamabad,Sialkot,0.9748183390028242
Islamabad,Sukkur,0.995897900314245
Karachi,Khuzdar,0.9746010643426916
Karachi,Lahore,0.9835471901270054
Karachi,Larkana,0.9967961819903481
Karachi,Multan,0.9836840430640875
Karachi,Peshawar,0.9821079129854257
Karachi,Quetta,0.9917886156094164
Karachi,Rawalpindi,0.9907175063233667
Karachi,Sargodha,0.9815156600448037
Karachi,Sialkot,0.9595539321172551
Karachi,Sukkur,0.9853228958327667
Khuzdar,Lahore,0.9536686814189911
Khuzdar,Larkana,0.9830230231933541
Khuzdar,Multan,0.9682980235655846
Khuzdar,Peshawar,0.9435279566558361
Khuzdar,Quetta,0.9758778418035322
Khuzdar,Rawalpindi,0.9680868756899991
Khuzdar,Sargodha,0.971347962251102
Khuzdar,Sialkot,0.9296827230851559
Khuzdar,Sukkur,0.9573369520738846
Lahore,Larkana,0.9874365816128485
Lahore,Multan,0.991985440646558
Lahore,Peshawar,0.9906948013673978
Lahore,Quetta,0.9947416470646718
Lahore,Rawalpindi,0.9963090104278972
Lahore,Sargodha,0.9895128048213424
Lahore,Sialkot,0.987620834347388
Lahore,Sukkur,0.9989324325781814
Larkana,Multan,0.9918581920878123
Larkana,Peshawar,0.9860740268104649
Larkana,Quetta,0.9968194380958222
Larkana,Rawalpindi,0.9939116235680572
Larkana,Sargodha,0.9922446537844383
Larkana,Sialkot,0.9630721628008584
Larkana,Sukkur,0.9905254075806612
Multan,Peshawar,0.9866936755874067
Multan,Quetta,0.9964615141030765
Multan,Rawalpindi,0.9938790273469706
Multan,Sargodha,0.99805768593567
Multan,Sialkot,0.9738747965424092
Multan,Sukkur,0.9940209651359109
Peshawar,Quetta,0.9870984619344492
Peshawar,Rawalpindi,0.9907894472500878
Peshawar,Sargodha,0.988694475761438
Peshawar,Sialkot,0.963595067490034
Peshawar,Sukkur,0.9938372313515971
Quetta,Rawalpindi,0.9970872032033343
Quetta,Sargodha,0.9952723846684032
Quetta,Sialkot,0.9774619573886917
Quetta,Sukkur,0.9959025259667273
Rawalpindi,Sargodha,0.9930525531408916
Rawalpindi,Sialkot,0.9780178721217554
Rawalpindi,Sukkur,0.9962377731950587
Sargodha,Sialkot,0.9674957460302791
Sargodha,Sukkur,0.9933301907896004
Sialkot,Sukkur,0.9835845800011027
