City,Category,Year,Degree,Closeness,Betweenness,Eigenvector,SourceFile,Score_Equal,Score_Corr,Score_Category
Gujranwala,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Hyderabad,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Islamabad,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Karachi,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Khuzdar,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Lahore,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Larkana,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Multan,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Peshawar,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Quetta,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Rawalpindi,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sargodha,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sialkot,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sukkur,Food_Staples_Grains,2023,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bahawalpur,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bannu,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Faisalabad,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Gujranwala,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Hyderabad,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Islamabad,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Karachi,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Khuzdar,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Lahore,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Larkana,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Multan,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Peshawar,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Quetta,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Rawalpindi,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sargodha,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sialkot,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sukkur,Food_Staples_Grains,2024,1.0,1.0,0.0,0.2425356250363329,Food_Staples_Grains_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bahawalpur,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bannu,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Faisalabad,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Gujranwala,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Hyderabad,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Islamabad,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
